budget,homepage,movie_id,movie_status,popularity,release_date,release_year,revenue,runtime,tagline,title,vote_average,vote_count
0,null,9918,Released,8.305085,2006-01-13,2006,42647449,118,The incredible story of the team that changed the game forever.,Glory Road,7.2,144
11000000,null,687,Released,15.864928,1995-12-29,1995,39363635,122,null,Dead Man Walking,7.3,337
0,null,402515,Released,0.018716,2014-10-21,2014,0,89,null,Solitude,0.0,0
0,null,32740,Released,3.759988,2006-06-23,2006,0,154,null,कृष,5.5,46
150000000,http://disney.go.com/disneypictures/ratatouille/,2062,Released,65.6774,2007-06-22,2007,623722818,111,He's dying to become a chef.,Ratatouille,7.5,4369
75000000,http://www.towerheist.com/index.php,59108,Released,36.743324,2011-11-02,2011,152930623,104,Ordinary guys. An extraordinary robbery.,Tower Heist,5.8,932
74000000,http://www.minionsmovie.com/,211672,Released,875.5813,2015-06-17,2015,1156730962,91,Before Gru, they had a history of bad bosses,Minions,6.4,4571
62000000,http://www.lovegurumovie.com/,12177,Released,13.218008,2008-06-20,2008,41819064,87,His Karma is Huge,The Love Guru,4.3,242
15000000,http://www.fox.co.uk/diary-of-a-wimpy-kid,33217,Released,21.09549,2010-03-19,2010,75700498,92,It's not a diary, it's a movie.,Diary of a Wimpy Kid,5.9,355
10000000,http://www.thefourthkind.net/,22824,Released,22.888172,2009-11-06,2009,42333295,98,There are four kinds of alien encounters. The fourth kind is abduction.,The Fourth Kind,5.8,441
2000000,http://www.foxsearchlight.com/boysdontcry/,226,Released,15.557144,1999-09-02,1999,11540607,118,A true story about finding the courage to be yourself.,Boys Don't Cry,7.2,353
1493619,http://againstthewild.com/,246449,Released,2.492747,2013-12-29,2013,0,90,Partners in survival. Friends for life.,Against the Wild,4.9,19
230000,http://www.bronsonthemovie.com,18533,Released,18.450613,2008-10-09,2008,2260712,92,The Man. The Myth. The Celebrity.,Bronson,6.9,733
0,http://thepromisemovie.net,2008,Released,3.866026,2005-12-15,2005,0,98,the promise,Wu Ji,5.0,29
86000000,null,9992,Released,27.097933,2006-12-13,2006,107944236,94,Adventure awaits in your own backyard.,Arthur et les Minimoys,6.0,639
